Date,Adj Close,Close,High,Low,Open,Volume
03/01/2018,1778.530029,1778.530029,1779.550049,1758.069946,1759.609985,12689600
04/01/2018,1791.02002,1791.02002,1791.390015,1779.280029,1786.640015,13110700
05/01/2018,1795.449951,1795.449951,1803.930054,1787.339966,1793.890015,12718100
08/01/2018,1792.810059,1792.810059,1813.170044,1792.810059,1799.589966,12087600
09/01/2018,1795.209961,1795.209961,1798.689941,1784.75,1795.890015,13874900
10/01/2018,1794.920044,1794.920044,1807.089966,1791.819946,1803.140015,13491400
11/01/2018,1802.800049,1802.800049,1804.540039,1786.469971,1795.079956,11604700
12/01/2018,1810.189941,1810.189941,1816.810059,1808.530029,1810.130005,10684000
15/01/2018,1822.660034,1822.660034,1830.680054,1818.51001,1819.23999,14124100
16/01/2018,1821.829956,1821.829956,1831.449951,1816.900024,1829.089966,11258300
17/01/2018,1828.880005,1828.880005,1828.930054,1816.060059,1819.130005,10172600
18/01/2018,1819.319946,1819.319946,1837.920044,1819.180054,1836.349976,11953100
19/01/2018,1821.339966,1821.339966,1821.339966,1803.550049,1815.199951,12175600
22/01/2018,1824.060059,1824.060059,1827.290039,1815.130005,1819.140015,10269000
23/01/2018,1831.780029,1831.780029,1836.680054,1825.069946,1830.920044,14008200
24/01/2018,1838.959961,1838.959961,1841.209961,1829.079956,1831.390015,12080400
25/01/2018,1819.290039,1819.290039,1848.069946,1819.290039,1843.300049,12172100
26/01/2018,1828.880005,1828.880005,1829.069946,1806.130005,1819.449951,13326500
29/01/2018,1837.48999,1837.48999,1839.849976,1831.150024,1835.900024,10343700
30/01/2018,1826.609985,1826.609985,1835.589966,1821.400024,1834.369995,10948700
31/01/2018,1826.859985,1826.859985,1834.26001,1819.5,1820.349976,10758000
01/02/2018,1833.599976,1833.599976,1837.859985,1830.550049,1833.530029,10696200
02/02/2018,1827.349976,1827.349976,1841.939941,1822.719971,1838.97998,10925200
05/02/2018,1810.319946,1810.319946,1813.939941,1796.930054,1798.420044,12664100
06/02/2018,1788.430054,1788.430054,1792.170044,1758.310059,1775.420044,17556200
07/02/2018,1785.439941,1785.439941,1804.75,1782.939941,1801.939941,11263800
08/02/2018,1786.660034,1786.660034,1796.069946,1781.180054,1787.23999,9393200
09/02/2018,1786.449951,1786.449951,1788.01001,1766.819946,1767.310059,11577800
12/02/2018,1799.449951,1799.449951,1799.449951,1786.25,1790,9112200
13/02/2018,1800.030029,1800.030029,1806.109985,1797.290039,1804.640015,9704800
14/02/2018,1792.089966,1792.089966,1806.780029,1792,1805.680054,9839800
15/02/2018,1800.859985,1800.859985,1801.949951,1790.800049,1799.689941,8694600
16/02/2018,1805.890015,1805.890015,1809.75,1802.390015,1804.599976,6893800
19/02/2018,1809.670044,1809.670044,1819.359985,1809.140015,1812.359985,9526400
20/02/2018,1801.02002,1801.02002,1815.329956,1801.02002,1811.160034,8519900
21/02/2018,1801.160034,1801.160034,1814.829956,1797.790039,1812.48999,12099500
22/02/2018,1788.630005,1788.630005,1808.579956,1787.699951,1801.079956,16028200
23/02/2018,1808.060059,1808.060059,1809.300049,1790.280029,1792.829956,19007100
26/02/2018,1834.180054,1834.180054,1834.209961,1809.329956,1811.540039,11054900
27/02/2018,1830.390015,1830.390015,1852.51001,1830.030029,1842.920044,15918200
28/02/2018,1830.130005,1830.130005,1840.060059,1825.670044,1828.619995,12069700
02/03/2018,1811.97998,1811.97998,1825.630005,1806.839966,1821.170044,10595800
05/03/2018,1808.890015,1808.890015,1817.079956,1792.140015,1812.27002,13921600
06/03/2018,1799.060059,1799.060059,1817.930054,1795.339966,1812.27002,13784700
07/03/2018,1781.640015,1781.640015,1798.130005,1780.119995,1797.040039,14634100
08/03/2018,1778.900024,1778.900024,1794.180054,1772.790039,1785.439941,12928100
09/03/2018,1775.369995,1775.369995,1786.430054,1761.630005,1784.880005,13753100
12/03/2018,1800.319946,1800.319946,1800.329956,1784.390015,1789.160034,11134000
13/03/2018,1809.900024,1809.900024,1809.900024,1793.780029,1797.800049,14744500
14/03/2018,1813.400024,1813.400024,1817.359985,1803.599976,1805.219971,14923100
15/03/2018,1816.079956,1816.079956,1820.51001,1809.939941,1815.119995,12414100
16/03/2018,1811.76001,1811.76001,1818.530029,1809.410034,1813,11820600
19/03/2018,1799.790039,1799.790039,1812.939941,1797.579956,1812.329956,10514600
20/03/2018,1799.839966,1799.839966,1803.839966,1793.089966,1793.619995,9553700
21/03/2018,1801.430054,1801.430054,1808.849976,1796.349976,1806.920044,9943200
