date,EWA,EWC
03/08/2015,15.13469887,21.77920341
04/08/2015,15.39010525,21.91726875
05/08/2015,15.35361576,21.9258976
06/08/2015,14.97415447,21.908638
07/08/2015,14.84280396,21.71017265
10/08/2015,15.06902218,22.15887451
11/08/2015,14.55091286,21.88275337
12/08/2015,14.55820751,21.97767258
13/08/2015,14.51442432,21.7015419
14/08/2015,14.49253368,21.71017265
17/08/2015,14.54361343,21.67566109
18/08/2015,14.37577534,21.60663223
19/08/2015,14.48523521,21.27873039
20/08/2015,14.06928539,20.8386631
21/08/2015,13.73360634,20.28641701
24/08/2015,12.65359974,19.54433441
25/08/2015,13.40522861,19.60473824
26/08/2015,13.77739429,20.01892281
27/08/2015,14.04739094,20.74374962
28/08/2015,13.97441864,20.88180542
31/08/2015,13.60955238,20.94220734
01/09/2015,12.98198032,20.27778625
02/09/2015,13.27387428,20.32093239
03/09/2015,13.09144115,20.48487854
04/09/2015,12.79954815,20.16561317
08/09/2015,13.38333321,20.51076889
09/09/2015,13.33954906,20.32956123
10/09/2015,13.39792824,20.42448044
11/09/2015,13.37603664,20.226017
14/09/2015,13.45630741,20.06206703
15/09/2015,13.44171143,20.226017
16/09/2015,13.79198456,20.84728813
17/09/2015,13.65333557,20.8386631
18/09/2015,13.58036423,20.57116508
21/09/2015,13.46360683,20.67471504
22/09/2015,13.28117275,20.16561317
23/09/2015,13.01117325,19.88948822
24/09/2015,13.20819855,19.88085747
25/09/2015,13.12792778,19.91537476
28/09/2015,12.92359924,19.25958252
29/09/2015,12.76305866,19.26821136
30/09/2015,13.07684612,19.8463459
01/10/2015,13.18630219,19.8463459
02/10/2015,13.31765747,20.14835739
05/10/2015,13.69711971,20.57116508
06/10/2015,13.77739429,20.81277847
07/10/2015,13.99631119,21.13204384
08/10/2015,14.20063782,21.38227654
09/10/2015,14.33198929,21.50308228
12/10/2015,14.28090572,21.3132515
13/10/2015,13.97441864,21.13204384
14/10/2015,14.05468941,21.38227654
15/10/2015,14.31739521,21.42542458
16/10/2015,14.28090572,21.35639381
19/10/2015,14.15685368,21.02850151
20/10/2015,14.06928539,21.22696114
21/10/2015,13.96712303,20.73511696
22/10/2015,14.25171947,21.08026886
23/10/2015,14.44145107,21.08026886
26/10/2015,14.39766502,20.84728813
27/10/2015,14.26631165,20.59705353
28/10/2015,14.14955521,20.95946693
29/10/2015,13.7409029,20.89043427
30/10/2015,13.80657864,20.5366497
02/11/2015,13.77009392,20.68334007
03/11/2015,14.01820278,20.95084
04/11/2015,13.8576622,20.69197083
05/11/2015,13.72630978,20.49350929
06/11/2015,13.60225391,20.29504585
09/11/2015,13.25197887,20.20012856
10/11/2015,13.23738766,20.12247086
11/11/2015,13.38333321,20.02755356
12/11/2015,13.39063263,19.6565094
13/11/2015,13.21549511,19.4839344
16/11/2015,13.32495689,19.87223053
17/11/2015,13.47090149,19.85497284
18/11/2015,13.66793156,20.04480934
19/11/2015,14.01090527,20.20012856
20/11/2015,14.1203661,20.05343628
23/11/2015,14.03279686,19.90674591
24/11/2015,14.1203661,20.07932281
25/11/2015,13.9817152,20.05343628
27/11/2015,13.87955379,19.94126129
30/11/2015,13.93063545,20.07932281
01/12/2015,14.32469273,20.36407661
02/12/2015,14.17874813,20.08795547
03/12/2015,14.08387947,19.89811707
04/12/2015,14.14955521,19.93263435
07/12/2015,13.87225628,19.25095558
08/12/2015,13.59495735,18.95757103
09/12/2015,13.5730648,19.05249023
10/12/2015,13.58036423,19.05249023
11/12/2015,13.20089912,18.61241722
14/12/2015,13.20819855,18.4916172
15/12/2015,13.23008633,18.83677101
16/12/2015,13.60955238,19.09563255
17/12/2015,13.36144066,18.6641922
18/12/2015,13.5219841,18.6641922
21/12/2015,13.68631077,18.65544701
22/12/2015,13.79135799,18.76040459
23/12/2015,14.04647732,19.17146873
24/12/2015,14.05397797,19.22394562
28/12/2015,14.02396488,18.93532372
29/12/2015,14.40664005,19.15397263
30/12/2015,14.37662697,18.94406891
31/12/2015,14.22655678,18.80412865
04/01/2016,14.03146839,18.53300095
05/01/2016,13.82137203,18.44553947
06/01/2016,13.42368603,18.04321861
07/01/2016,12.85342407,17.61465836
08/01/2016,12.6658392,17.53594589
11/01/2016,12.77088833,17.29980278
12/01/2016,12.84592247,17.33478546
13/01/2016,12.62081528,16.9499588
14/01/2016,12.88343906,17.1686058
15/01/2016,12.19312286,16.591362
19/01/2016,12.48575687,16.52139473
20/01/2016,12.44073582,16.31148911
21/01/2016,12.68084621,16.83625793
22/01/2016,12.91345119,17.50096321
25/01/2016,12.71086121,17.03742027
26/01/2016,12.96597767,17.51844978
27/01/2016,12.82341099,17.54469109
28/01/2016,13.05601883,17.96450424
29/01/2016,13.2361002,18.28810883
01/02/2016,13.25861359,18.20064545
02/02/2016,12.83841896,17.75459862
03/02/2016,13.01850319,18.27936554
04/02/2016,13.24360561,18.59422493
05/02/2016,12.89844704,18.3493309
08/02/2016,12.88343906,17.99948883
09/02/2016,12.63582516,17.66713524
10/02/2016,12.59080696,17.48346329
11/02/2016,12.545784,17.31729126
12/02/2016,12.71086121,17.85080719
16/02/2016,12.99598885,18.12193298
17/02/2016,13.20608807,18.84786224
18/02/2016,13.25110912,18.83911514
19/02/2016,13.22109509,18.62920952
22/02/2016,13.58876514,18.76040459
23/02/2016,13.33364868,18.52425575
24/02/2016,13.19108105,18.56798553
25/02/2016,13.20608807,18.79538727
26/02/2016,12.98098469,18.91782951
29/02/2016,12.96597767,18.91782951
01/03/2016,13.38617039,19.33764267
02/03/2016,13.77635288,19.37262917
03/03/2016,14.04647732,19.58253479
04/03/2016,14.29408932,19.78369331
07/03/2016,14.49668407,20.15103149
08/03/2016,14.22655678,19.83617401
09/03/2016,14.56421471,20.20350838
10/03/2016,14.45916557,20.04607773
11/03/2016,14.8343401,20.4571476
14/03/2016,14.63924694,20.35219193
15/03/2016,14.30909348,20.1072998
16/03/2016,14.63924694,20.54460907
17/03/2016,14.96189785,20.94692993
18/03/2016,14.8793602,20.73702049
21/03/2016,14.79682255,20.73702049
22/03/2016,14.7743082,20.72827339
23/03/2016,14.45916557,20.29097176
24/03/2016,14.42915058,20.19476128
28/03/2016,14.47417259,20.31720924
29/03/2016,14.43665504,20.52711296
30/03/2016,14.50418472,20.81573105
31/03/2016,14.49668407,20.73702049
01/04/2016,14.40664005,20.64956093
04/04/2016,14.22655678,20.39592552
05/04/2016,13.80636311,20.18601608
06/04/2016,14.10650063,20.36094284
07/04/2016,13.81386757,20.1335392
08/04/2016,13.95643425,20.55335426
11/04/2016,13.96393967,20.74576759
12/04/2016,14.3991375,21.23555183
13/04/2016,14.62424183,21.32301331
14/04/2016,14.7743082,21.27053452
15/04/2016,14.91687489,21.20056343
18/04/2016,15.10446358,21.38423157
19/04/2016,15.33707142,21.84777641
20/04/2016,15.35207558,21.97022247
21/04/2016,15.25453186,21.80404282
22/04/2016,15.20200825,21.91774368
25/04/2016,15.11946964,21.76905823
26/04/2016,15.23202229,21.91774368
27/04/2016,14.86435318,22.02269745
28/04/2016,14.90937233,22.09266663
29/04/2016,14.95439148,22.21511269
02/05/2016,15.06694508,22.08391762
03/05/2016,14.8793602,21.54166031
04/05/2016,14.64675331,21.13059425
05/05/2016,14.63924694,21.12184906
06/05/2016,14.6092329,21.14808846
09/05/2016,14.53419971,20.81573105
10/05/2016,14.85684681,21.20056343
11/05/2016,14.80432415,21.28802681
12/05/2016,14.76680756,21.34924889
13/05/2016,14.55670929,21.11310005
16/05/2016,14.78931713,21.42796135
17/05/2016,14.76680756,21.47169495
18/05/2016,14.57922459,21.16558075
19/05/2016,14.53419971,21.0081501
20/05/2016,14.59422779,21.13059425
23/05/2016,14.49668407,21.09561348
24/05/2016,14.53419971,21.13059425
25/05/2016,14.62424183,21.52417183
26/05/2016,14.67676449,21.62912369
27/05/2016,14.69177246,21.62912369
31/05/2016,14.59422779,21.41047287
01/06/2016,14.57171822,21.46294594
02/06/2016,14.45916557,21.52417183
03/06/2016,14.73679352,21.90899658
06/06/2016,14.90187073,22.2063694
07/06/2016,15.05193806,22.4337635
08/06/2016,15.14948463,22.45125771
09/06/2016,14.95439148,22.28507805
10/06/2016,14.57922459,21.90899658
13/06/2016,14.44415951,21.77780724
14/06/2016,14.31659794,21.49793243
15/06/2016,14.32410145,21.42796135
16/06/2016,14.21905422,21.32301331
17/06/2016,14.33911133,21.49793243
20/06/2016,14.69927788,21.79530144
21/06/2016,14.80432415,21.81279373
22/06/2016,14.80888844,21.72993088
23/06/2016,15.21982765,22.08254242
24/06/2016,14.39795494,21.28034019
27/06/2016,13.97180176,20.82194328
28/06/2016,14.36751652,21.13929367
29/06/2016,14.55015469,21.48309898
30/06/2016,14.80128288,21.60651398
01/07/2016,14.86976814,21.88860321
05/07/2016,14.57298279,21.66822052
06/07/2016,14.74800968,21.80044746
07/07/2016,14.64147186,21.58888054
08/07/2016,14.99913597,21.7211132
11/07/2016,15.15133762,21.73874283
12/07/2016,15.42529392,22.10017395
13/07/2016,15.40246487,22.17069626
14/07/2016,15.56227493,22.39989662
15/07/2016,15.50900459,22.2852993
18/07/2016,15.58510208,22.37345314
19/07/2016,15.37963295,22.21477318
20/07/2016,15.46333981,22.21477318
21/07/2016,15.47856426,22.16188049
22/07/2016,15.46333981,22.1354332
25/07/2016,15.50900459,21.85334396
26/07/2016,15.63837147,22.00320625
27/07/2016,15.63075924,21.99439049
28/07/2016,15.68403053,22.02083206
29/07/2016,15.89710808,22.25003433
01/08/2016,15.72208118,21.97675705
02/08/2016,15.70686245,21.95030975
03/08/2016,15.64598083,22.12662125
04/08/2016,15.72208118,22.15305901
05/08/2016,15.83623219,22.1354332
08/08/2016,15.91993809,22.32937431
09/08/2016,16.00364494,22.46160316
10/08/2016,16.01125717,22.50568008
11/08/2016,16.05691719,22.76132774
12/08/2016,15.87428093,22.68198776
15/08/2016,15.98081875,22.79659081
16/08/2016,15.97320652,22.82303429
17/08/2016,15.97320652,22.79659081
18/08/2016,15.98081875,22.95526695
19/08/2016,15.83623219,22.80540085
22/08/2016,15.85144997,22.73488235
23/08/2016,15.95037746,22.86711311
24/08/2016,15.95037746,22.68198776
25/08/2016,15.94276714,22.64673042
26/08/2016,15.7296896,22.56739044
29/08/2016,15.71446705,22.61146355
30/08/2016,15.57749081,22.50568008
31/08/2016,15.38724327,22.31174469
01/09/2016,15.47095299,22.47042084
02/09/2016,15.47856426,22.79659081
06/09/2016,15.75252151,23.06986618
07/09/2016,15.71446705,22.98171234
08/09/2016,15.53944302,22.93763542
09/09/2016,15.0447979,22.34700584
12/09/2016,15.18938541,22.4263401
13/09/2016,14.6719141,21.83571053
14/09/2016,14.79367447,21.81808281
15/09/2016,15.07523918,22.11780357
16/09/2016,15.06001759,21.95912933
19/09/2016,15.12089825,22.03846741
20/09/2016,15.21221733,22.05609703
21/09/2016,15.55466461,22.51449966
22/09/2016,15.65359116,22.71724892
23/09/2016,15.63075924,22.41753387
26/09/2016,15.61554146,22.21477318
27/09/2016,15.78296089,22.19714355
28/09/2016,15.96559811,22.63791084
29/09/2016,15.78296089,22.57620621
30/09/2016,15.9047184,22.64673042
03/10/2016,15.93515873,22.60264969
04/10/2016,15.81339931,22.24122047
05/10/2016,15.9047184,22.43515778
06/10/2016,15.91233063,22.34700584
07/10/2016,15.85144997,22.16188049
10/10/2016,15.97320652,22.39989662
11/10/2016,15.66881275,22.2324028
12/10/2016,15.77534962,22.27648544
13/10/2016,15.7296896,22.37345314
14/10/2016,15.75252151,22.40871429
17/10/2016,15.70686245,22.47042084
18/10/2016,15.9047184,22.69080544
19/10/2016,16.02647972,22.84947968
20/10/2016,15.8666687,22.69080544
21/10/2016,15.77534962,22.65554619
24/10/2016,15.74491119,22.54975891
25/10/2016,15.87428093,22.53212547
26/10/2016,15.68403053,22.45278931
27/10/2016,15.41768551,22.48805046
28/10/2016,15.34158421,22.43515778
31/10/2016,15.43290329,22.34700584
01/11/2016,15.37202644,22.37345314
02/11/2016,15.21221733,22.12662125
03/11/2016,15.26548576,22.10017395
04/11/2016,15.14372444,21.97675705
07/11/2016,15.58510208,22.25884438
08/11/2016,15.73730087,22.39989662
09/11/2016,15.62315273,22.43515778
10/11/2016,15.59271336,22.30292702
11/11/2016,15.54705143,21.90623474
14/11/2016,15.58510208,21.9414959
15/11/2016,15.64598083,22.36463547
16/11/2016,15.34158421,22.32055664
17/11/2016,15.37202644,22.40871429
18/11/2016,15.24265575,22.44397354
21/11/2016,15.37202644,22.90237236
22/11/2016,15.53944302,22.90237236
23/11/2016,15.68403053,22.85829926
25/11/2016,15.85144997,22.81421661
28/11/2016,15.79056931,22.83185387
29/11/2016,15.81339931,22.78777695
30/11/2016,15.55466461,22.92881966
01/12/2016,15.72208118,23.01697731
02/12/2016,15.74491119,23.12276077
05/12/2016,15.77534962,23.20209503
06/12/2016,15.79056931,23.23735809
07/12/2016,16.01125717,23.49300575
08/12/2016,16.05691719,23.67812729
09/12/2016,16.09496689,23.7486496
12/12/2016,16.13301849,23.80154228
13/12/2016,16.22433472,23.95140648
14/12/2016,15.91993809,23.4312973
15/12/2016,15.81339931,23.38722038
16/12/2016,15.65359116,23.44011307
19/12/2016,15.62315273,23.30788231
20/12/2016,15.77534962,23.4312973
21/12/2016,15.76753521,23.41616058
22/12/2016,15.78316307,23.33602905
23/12/2016,15.66596031,23.21138
27/12/2016,15.73628139,23.21138
28/12/2016,15.79879093,23.16686249
29/12/2016,15.9238081,23.30041695
30/12/2016,15.80660152,23.28260612
03/01/2017,16.08789063,23.41616058
04/01/2017,16.29103851,23.80791473
05/01/2017,16.44730568,23.98598671
06/01/2017,16.36135864,23.94146347
09/01/2017,16.54106903,23.77230263
10/01/2017,16.57231712,23.80791473
11/01/2017,16.74421501,24.03050041
12/01/2017,16.81453896,24.03940201
13/01/2017,16.74421501,24.15515137
17/01/2017,16.70515251,24.18185997
18/01/2017,16.56451035,23.78120232
19/01/2017,16.63482857,23.7010746
20/01/2017,16.63482857,23.88804626
23/01/2017,16.58794594,23.87914276
24/01/2017,16.7129631,24.30650902
25/01/2017,16.76765442,24.5201931
26/01/2017,16.67389679,24.45786858
27/01/2017,16.7207756,24.27089691
30/01/2017,16.58794594,24.04830742
31/01/2017,16.59576416,24.19966698
01/02/2017,16.68170929,24.12843895
02/02/2017,16.85360718,24.19076538
03/02/2017,16.86923409,24.27980042
06/02/2017,16.7129631,24.11063385
07/02/2017,16.67389679,24.03940201
08/02/2017,16.75984764,24.12843895
09/02/2017,16.84579086,24.29760551
10/02/2017,17.07238007,24.56471062
13/02/2017,17.15833092,24.64484596
14/02/2017,17.17395782,24.72497368
15/02/2017,17.40836143,24.7783947
16/02/2017,17.40836143,24.7872982
17/02/2017,17.37710571,24.73387527
21/02/2017,17.44742775,24.7783947
22/02/2017,17.47868538,24.64484596
23/02/2017,17.47868538,24.57361794
24/02/2017,17.25209236,24.2352829
27/02/2017,17.23646355,24.19076538
28/02/2017,17.1505127,23.76340103
01/03/2017,17.34585381,23.93256187
02/03/2017,17.1505127,23.75449181
03/03/2017,17.17395782,23.89694977
06/03/2017,17.12707329,23.93256187
07/03/2017,17.19740105,23.88804626
08/03/2017,17.0802002,23.59423256
09/03/2017,17.0802002,23.59423256
10/03/2017,17.22865105,23.62094116
13/03/2017,17.28334618,23.7366848
14/03/2017,17.16614532,23.4339695
15/03/2017,17.69746017,23.90584946
16/03/2017,17.54118729,23.92366219
17/03/2017,17.57244301,23.78120232
20/03/2017,17.60369873,23.6921711
21/03/2017,17.36148071,23.42506027
22/03/2017,17.26771736,23.56752205
23/03/2017,17.20520782,23.65655136
24/03/2017,17.32241249,23.62094116
27/03/2017,17.32241249,23.7010746
28/03/2017,17.57244301,23.88804626
29/03/2017,17.77559471,24.07501793
30/03/2017,17.79903603,23.93256187
31/03/2017,17.66620445,23.93256187
03/04/2017,17.61151123,23.84352875
04/04/2017,17.56463051,23.93256187
05/04/2017,17.54118729,23.83462334
06/04/2017,17.51774788,23.95927429
07/04/2017,17.43180084,23.92366219
10/04/2017,17.49430847,24.12843895
11/04/2017,17.61932182,24.10172844
12/04/2017,17.57244301,24.08392143
13/04/2017,17.52556229,23.76340103
17/04/2017,17.62713432,24.06611824
18/04/2017,17.39273643,23.86133575
19/04/2017,17.22083664,23.58532524
20/04/2017,17.40054893,23.7277832
21/04/2017,17.44742775,23.65655136
24/04/2017,17.63494873,23.87023735
25/04/2017,17.67401695,23.84352875
26/04/2017,17.50993347,23.58532524
27/04/2017,17.50211906,23.33602905
28/04/2017,17.54899979,23.38054657
01/05/2017,17.72089767,23.34493446
02/05/2017,17.70526886,23.34493446
03/05/2017,17.31459999,23.26480103
04/05/2017,17.18958664,22.97988892
05/05/2017,17.26771736,23.40725708
08/05/2017,17.15833092,23.4339695
09/05/2017,16.94736862,23.26480103
10/05/2017,17.09582329,23.47848701
11/05/2017,17.07238007,23.28260612
12/05/2017,16.99424744,23.24699593
15/05/2017,17.11144638,23.47848701
16/05/2017,17.19740105,23.45177269
17/05/2017,16.75984764,22.97098541
18/05/2017,16.79891014,22.97988892
19/05/2017,16.94736862,23.39835548
22/05/2017,17.07238007,23.53190804
23/05/2017,17.07238007,23.49629021
24/05/2017,17.09582329,23.51410103
25/05/2017,17.04112625,23.42506027
26/05/2017,16.93174171,23.48738861
30/05/2017,16.84579086,23.40725708
31/05/2017,16.79109955,23.29151154
01/06/2017,16.75984764,23.46068001
02/06/2017,16.97080612,23.45177269
05/06/2017,16.97862053,23.46068001
06/06/2017,16.79109955,23.58532524
07/06/2017,16.79109955,23.30931854
08/06/2017,16.86923409,23.41616058
09/06/2017,16.85360718,23.60313797
12/06/2017,16.83797836,23.66545868
13/06/2017,17.20520782,23.81682014
14/06/2017,17.36929131,23.52300262
15/06/2017,17.23646355,23.4339695
16/06/2017,17.31459999,23.63875008
19/06/2017,17.37710571,23.70997429
20/06/2017,17.05782127,23.42723274
21/06/2017,16.89019585,23.31952095
22/06/2017,16.9301033,23.57084656
23/06/2017,17.04983711,23.6606102
26/06/2017,17.06580544,23.72344208
27/06/2017,17.00992584,23.82217789
28/06/2017,17.36912155,24.20814133
29/06/2017,17.40105057,24.04657745
30/06/2017,17.30526543,24.01964569
03/07/2017,17.22544861,24.18121529
05/07/2017,17.30526543,24.01964569
06/07/2017,17.14562416,23.92091179
07/07/2017,17.14562416,24.01964569
10/07/2017,17.18553734,24.14531136
11/07/2017,17.22544861,24.12735748
12/07/2017,17.29728508,24.49537277
13/07/2017,17.4808712,24.5312767
14/07/2017,17.76823425,24.72874641
17/07/2017,17.70437241,24.62103844
18/07/2017,17.76024628,24.71977234
19/07/2017,18.07953262,24.94417381
20/07/2017,18.12742424,25.00700378
21/07/2017,17.87199974,24.95314407
24/07/2017,17.87998009,24.97109795
25/07/2017,18.07155228,25.07880783
26/07/2017,18.26312065,25.11471367
27/07/2017,18.16733742,24.92621994
28/07/2017,18.05558586,25.0429039
31/07/2017,18.11944199,25.0429039
01/08/2017,18.18330383,24.98007393
02/08/2017,18.12742424,25.0429039
03/08/2017,17.98374939,24.92621994
04/08/2017,17.99971199,24.92621994
07/08/2017,18.03962708,24.89929199
08/08/2017,17.95980072,24.86338615
09/08/2017,17.9119091,24.72874641
10/08/2017,17.70437241,24.38765907
11/08/2017,17.75226784,24.42356491
14/08/2017,17.83208656,24.50434685
15/08/2017,17.78419495,24.42356491
16/08/2017,18.19128227,24.60308456
17/08/2017,17.95980072,24.4325428
18/08/2017,18.04760742,24.47742081
21/08/2017,18.0316391,24.51332283
22/08/2017,18.14339066,24.59411049
23/08/2017,18.05558586,24.75567627
24/08/2017,18.02365875,24.80953217
25/08/2017,18.11944199,24.88134193
28/08/2017,18.07953262,24.79157639
29/08/2017,17.95182037,24.81850815
30/08/2017,17.86401558,24.71079636
31/08/2017,18.07953262,25.01597786
01/09/2017,18.21523285,25.23140144
05/09/2017,18.10347939,25.03392792
06/09/2017,18.16733742,25.32115936
07/09/2017,18.27110481,25.47374916
08/09/2017,18.20724678,25.38398933
11/09/2017,18.36689186,25.56351089
12/09/2017,18.48662376,25.58146477
13/09/2017,18.33496475,25.57248688
14/09/2017,18.33496475,25.67122269
15/09/2017,18.27908707,25.6622467
18/09/2017,18.22321129,25.57248688
19/09/2017,18.34294128,25.70712662
20/09/2017,18.30303574,25.75200462
21/09/2017,17.99971199,25.87766647
22/09/2017,18.12742424,25.85972023
25/09/2017,18.07155228,25.88664627
26/09/2017,17.93585396,25.85972023
27/09/2017,17.87199974,25.87766647
28/09/2017,17.84007263,25.9764061
29/09/2017,17.9119091,25.9764061
02/10/2017,17.99173164,25.99435234
03/10/2017,17.9119091,26.10206604
04/10/2017,17.81612015,26.1289959
05/10/2017,17.73630142,26.0212841
06/10/2017,17.73630142,25.98538208
09/10/2017,17.74428177,25.99435234
10/10/2017,17.88796234,26.1289959
11/10/2017,17.93585396,26.2815876
12/10/2017,18.06357193,26.19182777
13/10/2017,18.32697678,26.26363373
16/10/2017,18.35092354,26.18284988
17/10/2017,18.41478348,26.17387772
18/10/2017,18.41478348,26.2815876
19/10/2017,18.44671249,26.32646561
20/10/2017,18.44671249,26.12001991
23/10/2017,18.33496475,26.05718803
24/10/2017,18.35891151,26.06616402
25/10/2017,18.11146355,25.77893448
26/10/2017,18.11146355,25.71610451
27/10/2017,18.19926643,25.87766647
30/10/2017,18.16733742,25.95845222
31/10/2017,18.11944199,25.84176636
01/11/2017,18.20724678,25.93152428
02/11/2017,18.34294128,26.00333405
03/11/2017,18.23917389,26.1289959
06/11/2017,18.31101799,26.32646561
07/11/2017,18.27908707,26.27260971
08/11/2017,18.45469475,26.34441757
09/11/2017,18.4946022,26.39827156
10/11/2017,18.4946022,26.31749153
13/11/2017,18.36689186,26.20977974
14/11/2017,18.15935516,26.03923798
15/11/2017,18.10347939,25.94050217
16/11/2017,18.22321129,26.04821396
17/11/2017,18.06357193,26.07514191
20/11/2017,18.10347939,26.06616402
21/11/2017,18.21523285,26.19182777
22/11/2017,18.31101799,26.38032341
24/11/2017,18.30303574,26.39827156
27/11/2017,18.22321129,26.17387772
28/11/2017,18.32697678,26.09308815
29/11/2017,18.22321129,25.90460014
30/11/2017,18.17532158,25.9764061
